FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E01011693,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01011681,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01011413,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01011750,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027199,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027240,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027120,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027170,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01026753,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01026792,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01026798,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01027745,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01006586,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01027761,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01027352,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01002394,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01006621,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01002329,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01006790,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027558,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01027803,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027455,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01027500,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027576,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01027665,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027807,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01028355,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
